,ICD10,ICD10_formatted,PHECODE
4022,G62.1,G621,317.1
4023,F50.8,F508,305.2
4024,K86.2,K862,577.3
4025,T93.4,T934,907.0
4026,B18.8,B188,70.0
4027,R29.3,R293,781.2
4028,K76.4,K764,70.9
4029,C71,C71,191.11
4030,S17,S17,1006.0
4031,S96.1,S961,1009.0
4032,M10,M10,274.1
4033,K70.9,K709,317.11
4034,T87.6,T876,874.0
4035,P39,P39,657.0
4036,Q10.0,Q100,749.0
4037,N90.3,N903,184.2
4038,L40-L45.9,L40-L459,689.0
4039,B43.9,B439,117.0
4040,T78.8,T788,949.0
4041,Q16.0,Q160,749.0
4042,M12.3,M123,716.8
4043,I80.9,I809,451.0
4044,N01.7,N017,580.11
4045,O86.1,O861,647.1
4046,R89.4,R894,1010.0
4047,G21.9,G219,349.0
4048,P15.5,P155,665.0
4049,T26.6,T266,1000.0
4050,P08.2,P082,658.0
4051,D03.1,D031,172.11
4052,G44.1,G441,339.0
4053,D02.4,D024,165.0
4054,S23.0,S230,830.0
4055,G40.7,G407,345.3
4056,M24.0,M240,742.1
4057,S60.9,S609,915.0
4058,H60.4,H604,385.3
4059,C25,C25,157.0
4060,M21.0,M210,736.0
4061,D82.9,D829,279.8
4062,Q30,Q30,749.0
4063,N82.0,N820,617.0
4064,T06.5,T065,1008.0
4065,H17,H17,364.1
4066,F19.3,F193,290.3
4067,A06.1,A061,8.7
4068,Z85.1,Z851,165.0
4069,O46,O46,635.2
4070,T50.1,T501,974.0
4071,K72.9,K729,571.8
4072,T43.4,T434,969.0
4073,B00-B09.9,B00-B099,79.0
4074,O66.8,O668,652.0
4075,E11.8,E118,250.2
4076,M95.5,M955,738.0
4077,B88.1,B881,132.0
4078,E84,E84,499.0
4079,Q66.4,Q664,755.1
4080,B47,B47,41.0
4081,A18.3,A183,10.0
4082,G04.9,G049,323.0
4083,E20.1,E201,275.5
4084,Z96.0,Z960,599.0
4085,M75.2,M752,726.0
4086,Q12.1,Q121,753.1
4087,L64.8,L648,704.1
4088,I68.0,I680,433.0
4089,L81.7,L817,694.2
4090,R23.3,R233,287.1
4091,M75.2,M752,726.1
4092,D51.2,D512,281.12
4093,T21.4,T214,1000.0
4094,S34.3,S343,952.0
4095,R73.0,R730,250.41
4096,J04,J04,465.4
4097,L29.2,L292,698.0
4098,G05.8,G058,323.0
4099,R86.1,R861,609.2
4100,J14,J14,480.1
4101,H55,H55,378.2
4102,E58,E58,262.0
4103,D46.2,D462,200.0
4104,C54.8,C548,182.0
4105,N18.0,N180,585.3
4106,B44.0,B440,117.4
4107,G05,G05,323.0
4108,Z83.4,Z834,1100.0
4109,B44.0,B440,480.3
4110,K31.7,K317,211.0
4111,C09.1,C091,149.1
4112,K22.2,K222,530.3
4113,R30,R30,599.3
4114,A22.1,A221,480.1
4115,J95.3,J953,509.3
