,OMIM_ID,HPO_ID
824,104350,1634
825,104350,1643
826,104350,2561
827,104350,2650
828,104350,2937
829,104350,2967
830,104350,5280
831,104350,8705
832,104400,6
833,104400,1426
834,104400,9827
835,104500,6
836,104500,705
837,104510,6
838,104510,679
839,104510,705
840,104530,6
841,104530,679
842,104530,705
843,104530,6311
844,104570,6
845,104570,682
846,104570,958
847,104570,966
848,104570,1051
849,104570,1595
850,104570,1806
851,104570,6291
852,104600,6
853,104600,765
854,104600,869
855,104600,2690
856,104600,2893
857,104600,100829
858,105120,6
859,105120,83
860,105120,100
861,105120,973
862,105120,1149
863,105120,1271
864,105120,1283
865,105120,1438
866,105120,1638
867,105120,3216
868,105120,3581
869,105120,30843
870,105150,6
871,105150,726
872,105150,1297
873,105150,1342
874,105150,2170
875,105150,3216
876,105200,6
877,105200,93
878,105200,100
879,105200,112
880,105200,790
881,105200,822
882,105200,969
883,105200,988
884,105200,1396
885,105200,1744
886,105200,2240
887,105200,3216
888,105210,6
889,105210,20
890,105210,365
891,105210,505
892,105210,639
893,105210,726
894,105210,802
895,105210,1250
896,105210,1251
897,105210,1257
898,105210,1260
899,105210,1265
900,105210,1269
901,105210,1271
902,105210,1324
903,105210,1337
904,105210,1638
905,105210,1640
906,105210,2014
907,105210,2019
908,105210,2315
909,105210,2401
910,105210,2922
911,105210,3477
912,105210,3581
913,105210,3676
914,105210,4926
915,105210,7841
916,105210,10550
917,105210,11034
918,105210,12185
919,105250,6
920,105250,958
921,105250,973
922,105250,989
923,105250,1149
924,105250,1291
925,105250,3581
926,105250,11034
927,105250,40189
928,105250,100725
929,105300,6
930,105300,20
931,105300,639
932,105300,1249
933,105300,1258
934,105300,1332
935,105300,2607
936,105300,3202
937,105400,6
938,105400,7
939,105400,1257
940,105400,1324
941,105400,1347
942,105400,1425
943,105400,2314
944,105400,2380
945,105400,2398
946,105400,3202
947,105400,3394
948,105400,7024
949,105400,7354
950,105400,10535
951,105500,6
952,105500,726
953,105500,1283
954,105500,1300
955,105500,1324
956,105500,2366
957,105500,3394
958,105500,3470
959,105500,7354
960,105550,6
961,105550,605
962,105550,716
963,105550,738
964,105550,741
965,105550,746
966,105550,1260
967,105550,1300
968,105550,1324
969,105550,2059
970,105550,2145
971,105550,2171
972,105550,2186
973,105550,2273
974,105550,2366
975,105550,2385
976,105550,2442
977,105550,2529
978,105550,3202
979,105550,3581
980,105550,3678
981,105550,7308
982,105550,7354
983,105563,6
984,105563,2014
985,105563,2019
986,105563,2607
987,105563,12450
988,105563,40183
989,105565,6
990,105565,2019
